COUNTRY,Correlation,UNITA_MISURA
PANAMA,0.7843557871584786,N
PANAMA,0.7843557871584786,
MALI,0.7821638053237019,N
Suriname,0.6528932260625269,N
Suriname,0.6528932260625269,MT
ESTONIA,0.6468007650544173,N
ESTONIA,0.6468007650544173,MT
ESTONIA,0.6468007650544173,
Switzerland,0.5074204201591279,N
Switzerland,0.5074204201591279,MT
Switzerland,0.5074204201591279,LT
MAURITIUS,0.4689566070990674,N
MAURITIUS,0.4689566070990674,LT
MAURITIUS,0.4689566070990674,MT
TURKMENISTAN,0.46427421770798677,N
TURKMENISTAN,0.46427421770798677,MT
Sweden,0.4220828330927543,N
Sweden,0.4220828330927543,MT
Sweden,0.4220828330927543,LT
GUYANA,0.38391228845071845,N
GUYANA,0.38391228845071845,MT
Sudan,0.3720870404412335,N
Sudan,0.3720870404412335,MT
Sudan,0.3720870404412335,LT
Bosnia and Herzegovina,0.34661443704736444,N
Bosnia and Herzegovina,0.34661443704736444,LT
Bosnia and Herzegovina,0.34661443704736444,MT
Bosnia and Herzegovina,0.34661443704736444,
VIETNAM,0.31991094926950187,N
VIETNAM,0.31991094926950187,MT
VIETNAM,0.31991094926950187,LT
VIETNAM,0.31991094926950187,
ANTIGUA AND BARBUDA,0.3071496661893292,N
ANTIGUA AND BARBUDA,0.3071496661893292,
Slovakia,0.2942573835764377,N
Slovakia,0.2942573835764377,MT
Slovakia,0.2942573835764377,
BANGLADESH,0.2923618648551766,N
BANGLADESH,0.2923618648551766,MT
BANGLADESH,0.2923618648551766,
Madagascar,0.27331101045390205,N
Madagascar,0.27331101045390205,LT
Madagascar,0.27331101045390205,MT
PUERTO RICO,0.25441404756017305,N
PUERTO RICO,0.25441404756017305,MT
PUERTO RICO,0.25441404756017305,
Chile,0.24831459038464104,N
Chile,0.24831459038464104,MT
Chile,0.24831459038464104,LT
Armenia,0.2440664874603498,N
Armenia,0.2440664874603498,MT
Cape Verde,0.2431492924265141,N
Cape Verde,0.2431492924265141,MT
Cape Verde,0.2431492924265141,LT
GUATEMALA,0.2349878545949823,N
GUATEMALA,0.2349878545949823,LT
GUATEMALA,0.2349878545949823,MT
GUATEMALA,0.2349878545949823,CF
GUATEMALA,0.2349878545949823,
GEORGIA,0.2255634761180846,N
GEORGIA,0.2255634761180846,MT
GEORGIA,0.2255634761180846,LT
GEORGIA,0.2255634761180846,
COSTA RICA,0.21209685121489505,N
COSTA RICA,0.21209685121489505,MT
COSTA RICA,0.21209685121489505,
Kuwait,0.20941573606597905,N
Kuwait,0.20941573606597905,MT
Kuwait,0.20941573606597905,
KOSOVO,0.20455341582922765,N
KOSOVO,0.20455341582922765,MT
KOSOVO,0.20455341582922765,
Cameroon,0.20437524616791244,N
Cameroon,0.20437524616791244,MT
KYRGYZSTAN,0.20289506886127864,MT
KYRGYZSTAN,0.20289506886127864,N
KYRGYZSTAN,0.20289506886127864,
Sri Lanka,0.1859412577481602,N
Sri Lanka,0.1859412577481602,MT
Sri Lanka,0.1859412577481602,
Qatar,0.18428722754625354,N
Qatar,0.18428722754625354,MT
Qatar,0.18428722754625354,LT
NIGER,0.18195497808235844,N
NIGER,0.18195497808235844,MT
Bulgaria,0.181170218967216,N
Bulgaria,0.181170218967216,MT
Bulgaria,0.181170218967216,
ZIMBABWE,0.17832671095444186,N
ZIMBABWE,0.17832671095444186,MT
ZIMBABWE,0.17832671095444186,LT
New Zealand,0.1752608588225491,N
New Zealand,0.1752608588225491,MT
TRINIDAD AND TOBAGO,0.13398287224419422,N
TRINIDAD AND TOBAGO,0.13398287224419422,MT
TRINIDAD AND TOBAGO,0.13398287224419422,
CHINA,0.13124895284125715,N
CHINA,0.13124895284125715,MT
CHINA,0.13124895284125715,LT
CHINA,0.13124895284125715,
Malawi,0.1287815404334138,N
Malawi,0.1287815404334138,LT
Malawi,0.1287815404334138,MT
MEXICO,0.12661478612631655,N
MEXICO,0.12661478612631655,MT
MEXICO,0.12661478612631655,LT
MEXICO,0.12661478612631655,CF
MEXICO,0.12661478612631655,
Portugal,0.12552882288272973,N
Portugal,0.12552882288272973,MT
Portugal,0.12552882288272973,KG
EQUATORIAL GUINEA,0.1250878745945753,N
Latvia,0.12089496056491347,N
Latvia,0.12089496056491347,MT
"Lao, People's Dem. Rep.",0.11789886537347301,N
"Lao, People's Dem. Rep.",0.11789886537347301,MT
"Lao, People's Dem. Rep.",0.11789886537347301,
YEMEN,0.1128349655430856,N
YEMEN,0.1128349655430856,MT
Oman,0.11270838871526122,MT
Oman,0.11270838871526122,N
Oman,0.11270838871526122,LT
Oman,0.11270838871526122,MQ
"Congo, Republic of",0.11043966715182589,N
"Congo, Republic of",0.11043966715182589,MT
Ireland,0.09922922174497253,N
Ireland,0.09922922174497253,MT
Ireland,0.09922922174497253,LT
Ireland,0.09922922174497253,
Indonesia,0.08299169220890687,N
Indonesia,0.08299169220890687,MT
Indonesia,0.08299169220890687,
ZAMBIA,0.08199246391236904,N
ZAMBIA,0.08199246391236904,MT
ZAMBIA,0.08199246391236904,LT
ZAMBIA,0.08199246391236904,
Cambodia,0.0791756089016783,N
Cambodia,0.0791756089016783,MT
Cambodia,0.0791756089016783,
Greece,0.07855762508528082,N
Greece,0.07855762508528082,MT
Greece,0.07855762508528082,LT
Greece,0.07855762508528082,
CANADA,0.07505416870327938,N
CANADA,0.07505416870327938,MT
CANADA,0.07505416870327938,LT
CANADA,0.07505416870327938,
UNITED KINGDOM,0.07468728370930455,N
UNITED KINGDOM,0.07468728370930455,MT
UNITED KINGDOM,0.07468728370930455,LT
UNITED KINGDOM,0.07468728370930455,
TANZANIA,0.06432920394684327,N
TANZANIA,0.06432920394684327,MT
TANZANIA,0.06432920394684327,LT
BAHRAIN,0.057467054687144525,N
BAHRAIN,0.057467054687144525,MT
Montenegro,0.05680778344873094,N
Montenegro,0.05680778344873094,
Tajikistan,0.03127226913974757,N
Tajikistan,0.03127226913974757,MT
HUNGARY,0.02140930773436756,N
HUNGARY,0.02140930773436756,MT
HUNGARY,0.02140930773436756,
Paraguay,0.0184478019945521,N
Paraguay,0.0184478019945521,LT
Paraguay,0.0184478019945521,MT
TUNISIA,0.014043319250649161,N
TUNISIA,0.014043319250649161,MT
TUNISIA,0.014043319250649161,LT
Israel,0.012850201051433804,N
Israel,0.012850201051433804,MT
Israel,0.012850201051433804,LT
Israel,0.012850201051433804,
EL SALVADOR,0.011464406493972672,N
EL SALVADOR,0.011464406493972672,MT
EL SALVADOR,0.011464406493972672,
Senegal,0.009555464628345889,N
Senegal,0.009555464628345889,MT
Islamic Republic of Iran,0.0040928615440595836,N
Islamic Republic of Iran,0.0040928615440595836,MT
Islamic Republic of Iran,0.0040928615440595836,CF
Islamic Republic of Iran,0.0040928615440595836,LT
Islamic Republic of Iran,0.0040928615440595836,
THAILAND,0.0015641777402822293,N
THAILAND,0.0015641777402822293,MT
THAILAND,0.0015641777402822293,
Angola (including Cabinda),0.00020804271320510283,N
Angola (including Cabinda),0.00020804271320510283,MT
Angola (including Cabinda),0.00020804271320510283,LT
Jordan,-0.005912098618220212,N
Jordan,-0.005912098618220212,MT
Jordan,-0.005912098618220212,LT
Ivory Coast,-0.012464415793600678,N
Ivory Coast,-0.012464415793600678,MT
Kazakhstan,-0.016086120856285024,N
Kazakhstan,-0.016086120856285024,MT
Kazakhstan,-0.016086120856285024,
Lebanon,-0.03850114602371955,N
Lebanon,-0.03850114602371955,MT
Saudi Arabia,-0.03942446725323081,N
Saudi Arabia,-0.03942446725323081,MT
Saudi Arabia,-0.03942446725323081,LT
Argentina,-0.04352962749210094,N
Argentina,-0.04352962749210094,MT
Argentina,-0.04352962749210094,LT
MALAYSIA,-0.04409849913011133,N
MALAYSIA,-0.04409849913011133,LT
MALAYSIA,-0.04409849913011133,MT
MALAYSIA,-0.04409849913011133,
TURKEY,-0.05244443857266155,N
TURKEY,-0.05244443857266155,MT
TURKEY,-0.05244443857266155,CF
TURKEY,-0.05244443857266155,
MOROCCO,-0.060164863920112874,N
MOROCCO,-0.060164863920112874,MT
MOROCCO,-0.060164863920112874,CF
MOROCCO,-0.060164863920112874,LT
MOROCCO,-0.060164863920112874,MQ
HAITI,-0.06196028466413735,N
HAITI,-0.06196028466413735,MT
HAITI,-0.06196028466413735,
South Africa,-0.06669209110530377,N
South Africa,-0.06669209110530377,MT
South Africa,-0.06669209110530377,LT
South Africa,-0.06669209110530377,
Namibia,-0.07167688358368406,N
Namibia,-0.07167688358368406,MT
Namibia,-0.07167688358368406,LT
FRANCE,-0.07442317155240395,N
FRANCE,-0.07442317155240395,MT
FRANCE,-0.07442317155240395,CF
FRANCE,-0.07442317155240395,
ALGERIA,-0.08397168200571288,N
ALGERIA,-0.08397168200571288,MT
ALGERIA,-0.08397168200571288,
URUGUAY,-0.08694650690797998,N
URUGUAY,-0.08694650690797998,MT
CYPRUS,-0.09132609175410049,N
CYPRUS,-0.09132609175410049,MT
CYPRUS,-0.09132609175410049,
Benin,-0.09265009831255198,N
Benin,-0.09265009831255198,MT
EGYPT,-0.09313719228428695,N
EGYPT,-0.09313719228428695,MT
EGYPT,-0.09313719228428695,CF
EGYPT,-0.09313719228428695,LT
PAKISTAN,-0.09617165334954855,N
PAKISTAN,-0.09617165334954855,MT
PAKISTAN,-0.09617165334954855,LT
PAKISTAN,-0.09617165334954855,KG
KENYA,-0.10106881887432664,N
KENYA,-0.10106881887432664,MT
JAMAICA,-0.10586503934172047,N
JAMAICA,-0.10586503934172047,MT
JAMAICA,-0.10586503934172047,LT
JAMAICA,-0.10586503934172047,
PHILIPPINES,-0.11020360690820563,N
PHILIPPINES,-0.11020360690820563,MT
PHILIPPINES,-0.11020360690820563,
Democratic Rep. of the Congo,-0.11261995256289146,N
Democratic Rep. of the Congo,-0.11261995256289146,MT
USA,-0.11698209754672281,N
USA,-0.11698209754672281,CF
USA,-0.11698209754672281,MT
USA,-0.11698209754672281,LT
USA,-0.11698209754672281,KG
USA,-0.11698209754672281,
Macedonia,-0.11909083615461973,N
Macedonia,-0.11909083615461973,MT
Macedonia,-0.11909083615461973,
Syria,-0.12034850274911489,N
Syria,-0.12034850274911489,MT
Brazil,-0.1223264654050719,N
Brazil,-0.1223264654050719,MT
Brazil,-0.1223264654050719,LT
Brazil,-0.1223264654050719,
Spain,-0.12349269569592233,N
Spain,-0.12349269569592233,MT
Spain,-0.12349269569592233,
Spain,-0.12349269569592233,LT
Spain,-0.12349269569592233,CF
ITALY,-0.12494822432291082,LT
ITALY,-0.12494822432291082,N
ITALY,-0.12494822432291082,MT
ITALY,-0.12494822432291082,
COLOMBIA,-0.12872018406895402,N
COLOMBIA,-0.12872018406895402,MT
COLOMBIA,-0.12872018406895402,LT
COLOMBIA,-0.12872018406895402,
FINLAND,-0.14292340380294166,N
FINLAND,-0.14292340380294166,LT
FINLAND,-0.14292340380294166,MT
"Moldova, Rep. of",-0.14603364665494667,N
"Moldova, Rep. of",-0.14603364665494667,MT
"Moldova, Rep. of",-0.14603364665494667,
Netherlands,-0.14616083991168444,N
Netherlands,-0.14616083991168444,MT
Netherlands,-0.14616083991168444,LT
Myanmar,-0.14894054487969405,N
Myanmar,-0.14894054487969405,MT
Myanmar,-0.14894054487969405,
Lithuania,-0.15068160115601817,N
Lithuania,-0.15068160115601817,MT
Lithuania,-0.15068160115601817,
UGANDA,-0.15504583734696853,N
UGANDA,-0.15504583734696853,CF
UGANDA,-0.15504583734696853,MT
AUSTRIA,-0.1576051586515112,N
AUSTRIA,-0.1576051586515112,MT
AUSTRIA,-0.1576051586515112,LT
POLAND,-0.16390425827270416,N
POLAND,-0.16390425827270416,MT
POLAND,-0.16390425827270416,LT
POLAND,-0.16390425827270416,
Slovenia,-0.1640815690129817,N
Slovenia,-0.1640815690129817,MT
Slovenia,-0.1640815690129817,
CROATIA,-0.16427227227132024,N
CROATIA,-0.16427227227132024,MT
CROATIA,-0.16427227227132024,LT
CROATIA,-0.16427227227132024,
GIBUTI,-0.17054719598311505,N
GIBUTI,-0.17054719598311505,MT
GIBUTI,-0.17054719598311505,LT
PERU,-0.17249004231428375,N
PERU,-0.17249004231428375,MT
PERU,-0.17249004231428375,KG
PERU,-0.17249004231428375,
ROMANIA,-0.1742795551867634,N
ROMANIA,-0.1742795551867634,MT
ROMANIA,-0.1742795551867634,
UNITED ARAB EMIRATES,-0.18746597168528398,N
UNITED ARAB EMIRATES,-0.18746597168528398,MT
Nigeria,-0.19538743615403137,N
Nigeria,-0.19538743615403137,MT
Nigeria,-0.19538743615403137,
UZBEKISTAN,-0.1968695105585139,N
UZBEKISTAN,-0.1968695105585139,MT
UZBEKISTAN,-0.1968695105585139,LT
UZBEKISTAN,-0.1968695105585139,
JAPAN,-0.19941040243183628,N
JAPAN,-0.19941040243183628,MT
JAPAN,-0.19941040243183628,LT
Norway,-0.20209369185974485,N
Norway,-0.20209369185974485,MT
Norway,-0.20209369185974485,CF
Norway,-0.20209369185974485,LT
Papua New Guinea,-0.21211807279977443,N
Papua New Guinea,-0.21211807279977443,MT
NICARAGUA,-0.21463299019482915,N
NICARAGUA,-0.21463299019482915,MT
NICARAGUA,-0.21463299019482915,
Czech Republic,-0.22348540349933493,N
Czech Republic,-0.22348540349933493,MT
Czech Republic,-0.22348540349933493,
Belgium,-0.22728892507164625,N
Belgium,-0.22728892507164625,MT
Iraq,-0.23322359616433627,N
Iraq,-0.23322359616433627,MT
Iraq,-0.23322359616433627,LT
Iraq,-0.23322359616433627,
Germany,-0.23644985549041225,N
Germany,-0.23644985549041225,MT
Germany,-0.23644985549041225,LT
ALBANIA,-0.23877770422625236,N
ALBANIA,-0.23877770422625236,MT
ALBANIA,-0.23877770422625236,LT
ALBANIA,-0.23877770422625236,
Ghana,-0.24703760954235668,N
Ghana,-0.24703760954235668,MT
VENEZUELA,-0.2541187494479292,N
VENEZUELA,-0.2541187494479292,MT
VENEZUELA,-0.2541187494479292,
AUSTRALIA,-0.25874815671587775,MT
AUSTRALIA,-0.25874815671587775,N
AUSTRALIA,-0.25874815671587775,
Dominican Republic,-0.2726649372254858,N
Dominican Republic,-0.2726649372254858,MT
Dominican Republic,-0.2726649372254858,CF
Dominican Republic,-0.2726649372254858,LT
Dominican Republic,-0.2726649372254858,
Belarus,-0.2955796837478362,N
Belarus,-0.2955796837478362,MT
Belarus,-0.2955796837478362,
Libya,-0.29936657690462515,N
Libya,-0.29936657690462515,MT
Libya,-0.29936657690462515,LT
Libya,-0.29936657690462515,
RUSSIAN FEDERATION,-0.3005067000973537,N
RUSSIAN FEDERATION,-0.3005067000973537,MT
RUSSIAN FEDERATION,-0.3005067000973537,
UKRAINE,-0.3036216473674534,N
UKRAINE,-0.3036216473674534,MT
India,-0.33196206504280373,N
India,-0.33196206504280373,MT
India,-0.33196206504280373,
India,-0.33196206504280373,LT
DENMARK,-0.34440924832696235,N
DENMARK,-0.34440924832696235,MT
Serbia,-0.34852061782739696,N
Serbia,-0.34852061782739696,MT
Serbia,-0.34852061782739696,LT
Serbia,-0.34852061782739696,
Palestinian Territory,-0.35544448681911694,N
Palestinian Territory,-0.35544448681911694,MT
Palestinian Territory,-0.35544448681911694,LT
HONDURAS,-0.3675258449556954,LT
HONDURAS,-0.3675258449556954,N
HONDURAS,-0.3675258449556954,MT
HONDURAS,-0.3675258449556954,
Azerbaijan,-0.3676808648704058,N
Azerbaijan,-0.3676808648704058,MT
Azerbaijan,-0.3676808648704058,LT
Azerbaijan,-0.3676808648704058,
South Korea,-0.3921649550217863,N
South Korea,-0.3921649550217863,MT
South Korea,-0.3921649550217863,LT
South Korea,-0.3921649550217863,
Mozambique,-0.4031958825241946,N
Mozambique,-0.4031958825241946,MT
Hong Kong,-0.405998837746695,N
Hong Kong,-0.405998837746695,
ECUADOR,-0.4118795161800044,N
ECUADOR,-0.4118795161800044,CF
ECUADOR,-0.4118795161800044,MT
ECUADOR,-0.4118795161800044,
AFGHANISTAN,-0.45735451618806483,N
AFGHANISTAN,-0.45735451618806483,MT
ETHIOPIA,-0.46484020789748753,N
ETHIOPIA,-0.46484020789748753,MT
Bolivia,-0.6153658386766198,N
Bolivia,-0.6153658386766198,MT
Bolivia,-0.6153658386766198,LT
Bolivia,-0.6153658386766198,
Liberia,-0.6482402631101885,N
French Polynesia,-0.6765272232788978,N
Iceland,-0.9999999999999999,N
