index,PERIODO,COUNTRY,UNITA_MISURA,QTA_ORDINATA,QTA_EVASA,MAX_DELTA_MONTH,DELTA
11236,2019-01,AFGHANISTAN,MT,6096.0,0.0,1,6096.0
12173,2019-02,AFGHANISTAN,N,1364.0,631.0,2,733.0
64592,2023-10,ALBANIA,LT,5.0,5.0,10,0.0
10306,2018-12,ALBANIA,MT,15.0,15.0,12,0.0
11243,2019-01,ALBANIA,N,68.0,67.0,1,1.0
22480,2020-01,ALGERIA,MT,47112.6015625,0.0,1,47112.6015625
63665,2023-09,ALGERIA,N,9642.0,594.0,9,9048.0
29039,2020-08,ANDORRA,N,26.0,0.0,8,26.0
965,2018-02,ANTIGUA AND BARBUDA,N,16.0,16.0,2,0.0
18754,2019-09,AUSTRALIA,MT,64043.0,3.0,9,64040.0
59003,2023-04,AUSTRALIA,N,5352.0,2694.0,4,2658.0
37478,2021-05,AUSTRIA,LT,5.0,0.0,5,5.0
42160,2021-10,AUSTRIA,MT,86128.0,0.0,10,86128.0
59945,2023-05,AUSTRIA,N,1300.0,3.0,5,1297.0
29996,2020-09,Angola (including Cabinda),LT,20.0,0.0,9,20.0
55270,2022-12,Angola (including Cabinda),MT,64.0,0.0,12,64.0
22511,2020-01,Angola (including Cabinda),N,3495.0,12.0,1,3483.0
31874,2020-11,Argentina,LT,5.0,5.0,11,0.0
2860,2018-04,Argentina,MT,21403.96875,3108.96,4,18295.00875
45917,2022-02,Argentina,N,1332.0,499.0,2,833.0
57154,2023-02,Armenia,MT,2.0,0.0,2,2.0
52475,2022-09,Armenia,N,423.0,210.0,9,213.0
998,2018-02,Azerbaijan,LT,100.0,0.0,2,100.0
55288,2022-12,Azerbaijan,MT,24384.0,0.0,12,24384.0
35633,2021-03,Azerbaijan,N,1331.0,138.0,3,1193.0
56230,2023-01,BAHRAIN,MT,12192.0,0.0,1,12192.0
24407,2020-03,BAHRAIN,N,472.0,3.0,3,469.0
34708,2021-02,BANGLADESH,MT,7.0,0.0,2,7.0
38453,2021-06,BANGLADESH,N,1111.0,2.0,6,1109.0
9442,2018-11,Belarus,MT,6096.0,0.0,11,6096.0
27227,2020-06,Belarus,N,814.0,469.0,6,345.0
50632,2022-07,Belgium,MT,42694.0,0.0,7,42694.0
57185,2023-02,Belgium,N,1152.0,570.0,2,582.0
37534,2021-05,Benin,MT,3867.0,0.0,5,3867.0
37535,2021-05,Benin,N,356.0,12.0,5,344.0
3842,2018-05,Bolivia,LT,40.0,40.0,5,0.0
15076,2019-05,Bolivia,MT,10.0,10.0,5,0.0
61877,2023-07,Bolivia,N,42.0,0.0,7,42.0
4784,2018-06,Bosnia and Herzegovina,LT,10.0,10.0,6,0.0
28186,2020-07,Bosnia and Herzegovina,MT,2263.361328125,2263.36,7,0.0013281249998726707
10403,2018-12,Bosnia and Herzegovina,N,6.0,4.0,12,2.0
4790,2018-06,Brazil,LT,5.0,5.0,6,0.0
5728,2018-07,Brazil,MT,27440.0,27432.0,7,8.0
