index,PERIODO,COUNTRY,UNITA_MISURA,QTA_ORDINATA,QTA_EVASA,MAX_ORDER_MONTH,DELTA
12172,2019-02,AFGHANISTAN,MT,12192.0,6096.0,2,6096.0
12173,2019-02,AFGHANISTAN,N,1364.0,631.0,2,733.0
64592,2023-10,ALBANIA,LT,5.0,5.0,10,0.0
11242,2019-01,ALBANIA,MT,9144.0,9144.0,1,0.0
10307,2018-12,ALBANIA,N,238.0,238.0,12,0.0
53368,2022-10,ALGERIA,MT,28531.111328125,24399.0,10,4132.111328125
40265,2021-08,ALGERIA,N,10700.0,7867.0,8,2833.0
29039,2020-08,ANDORRA,N,26.0,0.0,8,26.0
42149,2021-10,ANTIGUA AND BARBUDA,N,1610.0,1610.0,10,0.0
28114,2020-07,AUSTRALIA,MT,45785.296875,45777.3,7,7.99687499999709
59003,2023-04,AUSTRALIA,N,5352.0,2694.0,4,2658.0
41222,2021-09,AUSTRIA,LT,5.0,5.0,9,0.0
51520,2022-08,AUSTRIA,MT,46.7265625,46.72,8,0.006562500000001137
58073,2023-03,AUSTRIA,N,1281.0,1223.0,3,58.0
15020,2019-05,Angola (including Cabinda),LT,10.0,0.0,5,10.0
45910,2022-02,Angola (including Cabinda),MT,33.859375,33.86,2,-0.0006249999999994316
26255,2020-05,Angola (including Cabinda),N,2647.0,2374.0,5,273.0
31874,2020-11,Argentina,LT,5.0,5.0,11,0.0
48724,2022-05,Argentina,MT,88414.8984375,88422.9,5,-8.00156249999418
15029,2019-05,Argentina,N,2654.0,2654.0,5,0.0
58090,2023-03,Armenia,MT,2.0,2.0,3,0.0
44051,2021-12,Armenia,N,306.0,306.0,12,0.0
998,2018-02,Azerbaijan,LT,100.0,0.0,2,100.0
57160,2023-02,Azerbaijan,MT,24384.0,24384.0,2,0.0
60905,2023-06,Azerbaijan,N,1176.0,1176.0,6,0.0
59974,2023-05,BAHRAIN,MT,12192.0,12192.0,5,0.0
25343,2020-04,BAHRAIN,N,460.0,436.0,4,24.0
50620,2022-07,BANGLADESH,MT,78.419921875,78.42,7,-7.81250000017053e-05
50621,2022-07,BANGLADESH,N,1606.0,1606.0,7,0.0
1954,2018-03,Belarus,MT,3048.0,3048.0,3,0.0
4763,2018-06,Belarus,N,1566.0,1565.0,6,1.0
8512,2018-10,Belgium,MT,11.5,11.5,10,0.0
89,2018-01,Belgium,N,1291.0,721.0,1,570.0
50638,2022-07,Benin,MT,10.0,10.0,7,0.0
50639,2022-07,Benin,N,248.0,248.0,7,0.0
3842,2018-05,Bolivia,LT,40.0,40.0,5,0.0
5716,2018-07,Bolivia,MT,12202.296875,12202.3,7,-0.0031249999992724042
46901,2022-03,Bolivia,N,817.0,817.0,3,0.0
4784,2018-06,Bosnia and Herzegovina,LT,10.0,10.0,6,0.0
28186,2020-07,Bosnia and Herzegovina,MT,2263.361328125,2263.36,7,0.0013281249998726707
16019,2019-06,Bosnia and Herzegovina,N,659.0,658.0,6,1.0
35678,2021-03,Brazil,LT,10.0,10.0,3,0.0
61888,2023-07,Brazil,MT,39621.0,39629.0,7,-8.0
13217,2019-03,Brazil,N,2869.0,2869.0,3,0.0
54406,2022-11,Bulgaria,MT,1.0,1.0,11,0.0
40367,2021-08,Bulgaria,N,2004.0,2004.0,8,0.0
31010,2020-10,CANADA,LT,10.0,10.0,10,0.0
16972,2019-07,CANADA,MT,45750.279296875,45757.28,7,-7.000703124998836
15101,2019-05,CANADA,N,1312.0,868.0,5,444.0
31952,2020-11,CHINA,LT,5.0,0.0,11,5.0
39442,2021-07,CHINA,MT,88437.68359375,88437.68,7,0.0035937500069849193
28211,2020-07,CHINA,N,3318.0,2647.0,7,671.0
35702,2021-03,COLOMBIA,LT,5.0,0.0,3,5.0
37576,2021-05,COLOMBIA,MT,21349.0,21341.0,5,8.0
46937,2022-03,COLOMBIA,N,6758.0,4176.0,3,2582.0
56302,2023-01,COSTA RICA,MT,15.44921875,15.45,1,-0.0007812499999992895
37583,2021-05,COSTA RICA,N,1194.0,1194.0,5,0.0
48818,2022-05,CROATIA,LT,20.0,20.0,5,0.0
45076,2022-01,CROATIA,MT,36576.0,36576.0,1,0.0
1085,2018-02,CROATIA,N,924.0,924.0,2,0.0
36658,2021-04,CYPRUS,MT,3049.0,3049.0,4,0.0
66611,2023-12,CYPRUS,N,967.0,966.0,12,1.0
52576,2022-09,Cambodia,MT,10.0,10.0,9,0.0
52577,2022-09,Cambodia,N,619.0,439.0,9,180.0
21694,2019-12,Cameroon,MT,8.5,8.5,12,0.0
48839,2022-05,Cameroon,N,822.0,450.0,5,372.0
64754,2023-10,Canary Islands,LT,5.0,0.0,10,5.0
2043,2018-03,Canary Islands,MQ,0.39990234375,0.4,3,-9.76562500000222e-05
