index,PERIODO,COUNTRY,UNITA_MISURA,QTA_ORDINATA,QTA_EVASA,MAX_ORDER_MONTH,DELTA
12172,2019-02,AFGHANISTAN,MT,12192.0,6096.0,2,6096.0
12173,2019-02,AFGHANISTAN,N,1364.0,631.0,2,733.0
64592,2023-10,ALBANIA,LT,5.0,5.0,10,0.0
11242,2019-01,ALBANIA,MT,9144.0,9144.0,1,0.0
10307,2018-12,ALBANIA,N,238.0,238.0,12,0.0
23416,2020-02,ALGERIA,MT,52768.30078125,23550.3,2,29218.00078125
40265,2021-08,ALGERIA,N,10700.0,7867.0,8,2833.0
29039,2020-08,ANDORRA,N,26.0,0.0,8,26.0
42149,2021-10,ANTIGUA AND BARBUDA,N,1610.0,1610.0,10,0.0
18754,2019-09,AUSTRALIA,MT,64043.0,3.0,9,64040.0
59003,2023-04,AUSTRALIA,N,5352.0,2694.0,4,2658.0
52454,2022-09,AUSTRIA,LT,10.0,5.0,9,5.0
42160,2021-10,AUSTRIA,MT,86128.0,0.0,10,86128.0
59945,2023-05,AUSTRIA,N,1300.0,3.0,5,1297.0
29996,2020-09,Angola (including Cabinda),LT,20.0,0.0,9,20.0
59014,2023-04,Angola (including Cabinda),MT,76.203125,15.2,4,61.003125
22511,2020-01,Angola (including Cabinda),N,3495.0,12.0,1,3483.0
31874,2020-11,Argentina,LT,5.0,5.0,11,0.0
48724,2022-05,Argentina,MT,88414.8984375,88422.9,5,-8.00156249999418
15029,2019-05,Argentina,N,2654.0,2654.0,5,0.0
57154,2023-02,Armenia,MT,2.0,0.0,2,2.0
52475,2022-09,Armenia,N,423.0,210.0,9,213.0
998,2018-02,Azerbaijan,LT,100.0,0.0,2,100.0
55288,2022-12,Azerbaijan,MT,24384.0,0.0,12,24384.0
35633,2021-03,Azerbaijan,N,1331.0,138.0,3,1193.0
56230,2023-01,BAHRAIN,MT,12192.0,0.0,1,12192.0
19727,2019-10,BAHRAIN,N,665.0,363.0,10,302.0
50620,2022-07,BANGLADESH,MT,78.419921875,78.42,7,-7.81250000017053e-05
50621,2022-07,BANGLADESH,N,1606.0,1606.0,7,0.0
9442,2018-11,Belarus,MT,6096.0,0.0,11,6096.0
4763,2018-06,Belarus,N,1566.0,1565.0,6,1.0
50632,2022-07,Belgium,MT,42694.0,0.0,7,42694.0
89,2018-01,Belgium,N,1291.0,721.0,1,570.0
37534,2021-05,Benin,MT,3867.0,0.0,5,3867.0
41279,2021-09,Benin,N,471.0,200.0,9,271.0
3842,2018-05,Bolivia,LT,40.0,40.0,5,0.0
5716,2018-07,Bolivia,MT,12202.296875,12202.3,7,-0.0031249999992724042
46901,2022-03,Bolivia,N,817.0,817.0,3,0.0
4784,2018-06,Bosnia and Herzegovina,LT,10.0,10.0,6,0.0
28186,2020-07,Bosnia and Herzegovina,MT,2263.361328125,2263.36,7,0.0013281249998726707
16019,2019-06,Bosnia and Herzegovina,N,659.0,658.0,6,1.0
35678,2021-03,Brazil,LT,10.0,10.0,3,0.0
61888,2023-07,Brazil,MT,39621.0,39629.0,7,-8.0
13217,2019-03,Brazil,N,2869.0,2869.0,3,0.0
54406,2022-11,Bulgaria,MT,1.0,1.0,11,0.0
40367,2021-08,Bulgaria,N,2004.0,2004.0,8,0.0
36626,2021-04,CANADA,LT,15.0,10.0,4,5.0
1060,2018-02,CANADA,MT,91428.0,6096.0,2,85332.0
15101,2019-05,CANADA,N,1312.0,868.0,5,444.0
31952,2020-11,CHINA,LT,5.0,0.0,11,5.0
39442,2021-07,CHINA,MT,88437.68359375,88437.68,7,0.0035937500069849193
28211,2020-07,CHINA,N,3318.0,2647.0,7,671.0
35702,2021-03,COLOMBIA,LT,5.0,0.0,3,5.0
33832,2021-01,COLOMBIA,MT,21354.0,0.0,1,21354.0
46937,2022-03,COLOMBIA,N,6758.0,4176.0,3,2582.0
56302,2023-01,COSTA RICA,MT,15.44921875,15.45,1,-0.0007812499999992895
37583,2021-05,COSTA RICA,N,1194.0,1194.0,5,0.0
48818,2022-05,CROATIA,LT,20.0,20.0,5,0.0
45076,2022-01,CROATIA,MT,36576.0,36576.0,1,0.0
1085,2018-02,CROATIA,N,924.0,924.0,2,0.0
19810,2019-10,CYPRUS,MT,3049.0,0.0,10,3049.0
66611,2023-12,CYPRUS,N,967.0,966.0,12,1.0
52576,2022-09,Cambodia,MT,10.0,10.0,9,0.0
52577,2022-09,Cambodia,N,619.0,439.0,9,180.0
19822,2019-10,Cameroon,MT,15.1484375,0.0,10,15.1484375
32927,2020-12,Cameroon,N,851.0,0.0,12,851.0
64754,2023-10,Canary Islands,LT,5.0,0.0,10,5.0
2043,2018-03,Canary Islands,MQ,0.39990234375,0.4,3,-9.76562500000222e-05
