MESE,COUNTRY,UNITA_MISURA,QTA_ORDINATA,QTA_EVASA,Average_Temperature
1,AFGHANISTAN,MT,6096.0,0.0,-1.1
1,AFGHANISTAN,N,729.0,0.0,-1.1
1,ALBANIA,MT,15240.0,15240.0,3.74
1,ALBANIA,N,278.0,277.0,3.74
1,ALGERIA,MT,54390.76171875,3075.1,12.49
1,ALGERIA,N,23538.0,3066.0,12.49
1,ANTIGUA AND BARBUDA,N,296.0,296.0,25.16
1,AUSTRALIA,MT,18351.1953125,12200.4,28.65
1,AUSTRALIA,N,4306.0,1776.0,28.65
1,AUSTRIA,N,1007.0,78.0,-1.65
1,Angola (including Cabinda),MT,35.66015625,14.36,22.73
1,Angola (including Cabinda),N,4633.0,357.0,22.73
1,Argentina,MT,15340.96875,15310.96,21.83
1,Argentina,N,3101.0,2770.0,21.83
1,Armenia,N,55.0,52.0,-5.19
1,Azerbaijan,N,437.0,256.0,1.14
1,BAHRAIN,MT,12192.0,0.0,17.88
1,BAHRAIN,N,255.0,2.0,17.88
1,BANGLADESH,N,707.0,0.0,18.01
1,Belarus,N,390.0,382.0,-2.19
1,Belgium,N,1621.0,927.0,4.02
1,Benin,MT,16.0,0.0,27.01
1,Benin,N,547.0,0.0,27.01
1,Bolivia,N,15.0,15.0,22.06
1,Bosnia and Herzegovina,MT,1.0,1.0,1.32
1,Bosnia and Herzegovina,N,182.0,182.0,1.32
1,Brazil,LT,5.0,5.0,25.45
1,Brazil,MT,12206.0,12206.0,25.45
1,Brazil,N,2563.0,2485.0,25.45
1,Bulgaria,N,79.0,47.0,2.08
1,CANADA,LT,5.0,5.0,-19.53
1,CANADA,MT,12232.6484375,4.65,-19.53
1,CANADA,N,1744.0,405.0,-19.53
1,CHINA,MT,30580.8125,9192.119999999999,-7.09
1,CHINA,N,2640.0,1767.0,-7.09
1,COLOMBIA,MT,39691.484375,18288.0,24.41
1,COLOMBIA,N,10008.0,1242.0,24.41
1,COSTA RICA,MT,15.44921875,15.45,22.33
1,COSTA RICA,N,79.0,79.0,22.33
1,CROATIA,MT,57935.0,57927.0,3.23
1,CROATIA,N,447.0,444.0,3.23
1,CYPRUS,MT,3055.0,0.0,12.45
1,CYPRUS,N,450.0,78.0,12.45
1,Cambodia,MT,7.0,7.0,26.35
1,Cambodia,N,216.0,20.0,26.35
1,Cameroon,N,13.0,0.0,24.83
1,Canary Islands,MT,73256.0,33543.0,
1,Canary Islands,N,3547.0,1404.0,
1,Cape Verde,MT,25.0,0.0,21.33
1,Cape Verde,N,2105.0,11.0,21.33
1,Chile,MT,6.0,6.0,13.35
1,Chile,N,518.0,518.0,13.35
1,"Congo, Republic of",MT,3.0,1.0,25.4
1,"Congo, Republic of",N,1481.0,1200.0,25.4
1,Czech Republic,N,1505.0,1480.0,0.46
1,DENMARK,N,288.0,127.0,3.39
1,Democratic Rep. of the Congo,MT,101.0,0.0,24.74
1,Democratic Rep. of the Congo,N,765.0,0.0,24.74
1,Dominican Republic,LT,5.0,5.0,22.84
1,Dominican Republic,MT,3.0,3.0,22.84
1,Dominican Republic,N,652.0,583.0,22.84
1,ECUADOR,CF,5.0,5.0,21.36
1,ECUADOR,MT,6096.0,6096.0,21.36
1,ECUADOR,N,262.0,260.0,21.36
1,EGYPT,LT,5.0,0.0,13.03
1,EGYPT,MT,140443.7216796875,79315.48,13.03
1,EGYPT,N,15389.0,4566.0,13.03
1,EL SALVADOR,MT,9144.0,9144.0,25.95
1,EL SALVADOR,N,326.0,326.0,25.95
1,ETHIOPIA,MT,124.8984375,0.0,23.12
1,ETHIOPIA,N,434.0,2.0,23.12
1,FINLAND,N,41.0,21.0,-7.05
1,FRANCE,MT,48839.19140625,30.0,7.46
1,FRANCE,N,3613.0,1011.0,7.46
1,French Polynesia,N,246.0,0.0,25.97
1,GEORGIA,LT,5.0,0.0,-1.63
1,GEORGIA,MT,12193.0,0.0,-1.63
1,GEORGIA,N,4820.0,2568.0,-1.63
1,GIBUTI,N,47.0,39.0,23.38
1,GUADELOUPE,N,733.0,47.0,
1,GUATEMALA,LT,5.0,5.0,21.09
1,GUATEMALA,MT,7.0,7.0,21.09
1,GUATEMALA,N,631.0,631.0,21.09
1,GUYANA,MT,37.0,0.0,24.58
1,GUYANA,N,384.0,67.0,24.58
1,Germany,MT,42866.12109375,42824.920000000006,2.53
1,Germany,N,9897.0,7765.0,2.53
1,Ghana,MT,4.0,0.0,28.08
1,Ghana,N,1142.0,18.0,28.08
1,Greece,MT,18320.1953125,18305.0,6.66
1,Greece,N,5941.0,2078.0,6.66
1,HAITI,MT,21359.0,15.0,23.66
1,HAITI,N,308.0,220.0,23.66
1,HONDURAS,LT,15.0,15.0,21.9
1,HONDURAS,MT,5.0,5.0,21.9
1,HONDURAS,N,29.0,28.0,21.9
1,HUNGARY,MT,2.0,2.0,1.6
1,HUNGARY,N,236.0,155.0,1.6
1,Hong Kong,N,109.0,109.0,16.56
1,ITALY,LT,15.0,15.0,5.0
1,ITALY,MT,27111.41015625,6138.74,5.0
1,ITALY,N,12465.0,5095.0,5.0
1,India,MT,95.828125,38.28,16.87
1,India,N,5293.0,1538.0,16.87
1,Indonesia,MT,6855.123046875,65.27,25.42
1,Indonesia,N,1053.0,797.0,25.42
1,Iraq,MT,43011.173828125,39.480000000000004,10.34
1,Iraq,N,15825.0,5411.0,10.34
1,Ireland,N,185.0,185.0,5.91
1,Islamic Republic of Iran,LT,10.0,0.0,5.98
1,Islamic Republic of Iran,MT,23642.041015625,0.0,5.98
1,Islamic Republic of Iran,N,10121.0,1902.0,5.98
1,Israel,MT,8.5,2.0,12.43
1,Israel,N,1507.0,597.0,12.43
1,Ivory Coast,MT,19.0,0.0,26.75
1,Ivory Coast,N,4640.0,1718.0,26.75
1,JAMAICA,MT,2.5,0.0,24.8
1,JAMAICA,N,2284.0,2154.0,24.8
1,JAPAN,LT,10.0,5.0,0.93
1,JAPAN,MT,76.484375,2.0,0.93
1,JAPAN,N,4713.0,1616.0,0.93
1,Jordan,MT,80082.484375,6096.0,9.23
1,Jordan,N,3570.0,213.0,9.23
1,KENYA,MT,33536.0,0.0,26.14
1,KENYA,N,2460.0,770.0,26.14
1,KOSOVO,N,79.0,75.0,0.77
1,KYRGYZSTAN,MT,12192.0,0.0,-12.73
1,KYRGYZSTAN,N,324.0,146.0,-12.73
1,Kazakhstan,MT,42052.0,42047.0,-10.32
1,Kazakhstan,N,120.0,117.0,-10.32
1,Kuwait,MT,33803.5615234375,21433.96,13.56
1,Kuwait,N,4512.0,1368.0,13.56
1,Latvia,N,15.0,0.0,-1.51
1,Lebanon,MT,45772.234375,9149.0,7.31
1,Lebanon,N,2758.0,138.0,7.31
1,Liberia,N,3.0,2.0,26.09
1,Libya,MT,27486.69921875,21355.0,11.91
1,Libya,N,14693.0,2999.0,11.91
1,Lithuania,MT,34.796875,13.4,-1.11
1,Lithuania,N,4136.0,59.0,-1.11
1,MALAYSIA,MT,27.0,27.0,25.24
1,MALAYSIA,N,1331.0,1306.0,25.24
1,MALDIVES,MT,2.0,2.0,
1,MALDIVES,N,397.0,397.0,
1,MALI,N,1.0,0.0,21.43
1,MALTA,MT,31.21875,31.22,
1,MALTA,N,4493.0,4418.0,
1,MARTINIQUE,MT,3.0,0.0,
1,MAURITIUS,N,108.0,25.0,25.89
1,MEXICO,LT,65.0,65.0,15.52
1,MEXICO,MT,121719.267578125,121694.26,15.52
1,MEXICO,N,21224.0,21222.0,15.52
1,MOROCCO,LT,20.0,20.0,10.33
1,MOROCCO,MQ,8.0,0.0,10.33
1,MOROCCO,MT,84515.94921875,42758.78,10.33
1,MOROCCO,N,17026.0,5069.0,10.33
1,Macedonia,N,99.0,40.0,1.16
1,Madagascar,N,60.0,22.0,24.66
1,Malawi,LT,40.0,40.0,23.21
1,Malawi,MT,36.484375,30.48,23.21
1,Malawi,N,911.0,911.0,23.21
1,Mayotte,N,28.0,0.0,
1,"Moldova, Rep. of",MT,45.7265625,45.72,-0.1
1,"Moldova, Rep. of",N,559.0,559.0,-0.1
1,Montenegro,N,16.0,7.0,0.81
1,Mozambique,N,65.0,2.0,25.83
1,Myanmar,N,11.0,11.0,19.01
1,NICARAGUA,MT,17815.0,9167.0,24.41
1,NICARAGUA,N,2326.0,1944.0,24.41
1,NIGER,N,218.0,43.0,18.59
1,Namibia,LT,10.0,10.0,
1,Namibia,MT,21352.640625,0.0,
1,Namibia,N,1018.0,467.0,
1,Netherlands,LT,10.0,0.0,4.85
1,Netherlands,MT,21346.5,21338.5,4.85
1,Netherlands,N,547.0,299.0,4.85
1,New Zealand,N,304.0,138.0,16.37
1,Nigeria,MT,21370.30078125,5.3,25.24
1,Nigeria,N,452.0,62.0,25.24
1,Norway,MT,37.984375,36.980000000000004,-6.36
1,Norway,N,3748.0,854.0,-6.36
1,Oman,MQ,1.0,0.0,20.08
1,Oman,MT,55.2734375,1.0,20.08
1,Oman,N,4272.0,331.0,20.08
1,PAKISTAN,MT,15262.0,9160.0,8.54
1,PAKISTAN,N,8803.0,6178.0,8.54
