COUNTRY,Correlation,UNITA_MISURA
MALI,0.9421719803263419,N
PANAMA,0.6666780379452008,N
PANAMA,0.6666780379452008,
Bulgaria,0.3500143001140244,N
Bulgaria,0.3500143001140244,MT
Bulgaria,0.3500143001140244,
TURKMENISTAN,0.2985236540825376,N
TURKMENISTAN,0.2985236540825376,MT
VIETNAM,0.270949646175775,N
VIETNAM,0.270949646175775,MT
VIETNAM,0.270949646175775,LT
VIETNAM,0.270949646175775,
"Congo, Republic of",0.2705831513377463,N
"Congo, Republic of",0.2705831513377463,MT
ESTONIA,0.23386636205509548,N
ESTONIA,0.23386636205509548,MT
ESTONIA,0.23386636205509548,
CHINA,0.23241382865178895,N
CHINA,0.23241382865178895,MT
CHINA,0.23241382865178895,LT
CHINA,0.23241382865178895,
Ghana,0.22869915531471777,N
Ghana,0.22869915531471777,MT
Greece,0.222545341360944,N
Greece,0.222545341360944,MT
Greece,0.222545341360944,LT
Greece,0.222545341360944,
Bosnia and Herzegovina,0.21835112009998794,N
Bosnia and Herzegovina,0.21835112009998794,LT
Bosnia and Herzegovina,0.21835112009998794,MT
Bosnia and Herzegovina,0.21835112009998794,
Sweden,0.21700732916081938,N
Sweden,0.21700732916081938,MT
Sweden,0.21700732916081938,LT
ANTIGUA AND BARBUDA,0.2118940868172373,N
ANTIGUA AND BARBUDA,0.2118940868172373,
GIBUTI,0.18193360974281972,N
GIBUTI,0.18193360974281972,MT
GIBUTI,0.18193360974281972,LT
Chile,0.17902239611612736,N
Chile,0.17902239611612736,MT
Chile,0.17902239611612736,LT
GUATEMALA,0.17884518110223702,N
GUATEMALA,0.17884518110223702,LT
GUATEMALA,0.17884518110223702,MT
GUATEMALA,0.17884518110223702,CF
GUATEMALA,0.17884518110223702,
Latvia,0.16971656823226552,N
Latvia,0.16971656823226552,MT
PAKISTAN,0.16401068339518277,N
PAKISTAN,0.16401068339518277,MT
PAKISTAN,0.16401068339518277,LT
PAKISTAN,0.16401068339518277,KG
Kuwait,0.16202490144308213,N
Kuwait,0.16202490144308213,MT
Kuwait,0.16202490144308213,
Belgium,0.159841676225223,N
Belgium,0.159841676225223,MT
VENEZUELA,0.1569293432320561,N
VENEZUELA,0.1569293432320561,MT
VENEZUELA,0.1569293432320561,
Saudi Arabia,0.1485639172608041,N
Saudi Arabia,0.1485639172608041,MT
Saudi Arabia,0.1485639172608041,LT
Papua New Guinea,0.1414577100740546,N
Papua New Guinea,0.1414577100740546,MT
Cape Verde,0.1383645235663966,N
Cape Verde,0.1383645235663966,MT
Cape Verde,0.1383645235663966,LT
Madagascar,0.13209146078694944,N
Madagascar,0.13209146078694944,LT
Madagascar,0.13209146078694944,MT
TANZANIA,0.1275390307538024,N
TANZANIA,0.1275390307538024,MT
TANZANIA,0.1275390307538024,LT
Suriname,0.12535419770049472,N
Suriname,0.12535419770049472,MT
UGANDA,0.12389676422289013,N
UGANDA,0.12389676422289013,CF
UGANDA,0.12389676422289013,MT
TURKEY,0.12364966195627439,N
TURKEY,0.12364966195627439,MT
TURKEY,0.12364966195627439,CF
TURKEY,0.12364966195627439,
Armenia,0.11854941833321418,N
Armenia,0.11854941833321418,MT
Switzerland,0.11576826537648258,N
Switzerland,0.11576826537648258,MT
Switzerland,0.11576826537648258,LT
"Lao, People's Dem. Rep.",0.11389073751869479,N
"Lao, People's Dem. Rep.",0.11389073751869479,MT
"Lao, People's Dem. Rep.",0.11389073751869479,
MEXICO,0.11074424810952847,N
MEXICO,0.11074424810952847,MT
MEXICO,0.11074424810952847,LT
MEXICO,0.11074424810952847,CF
MEXICO,0.11074424810952847,
Benin,0.10049330966461253,N
Benin,0.10049330966461253,MT
Ireland,0.09144214099686294,N
Ireland,0.09144214099686294,MT
Ireland,0.09144214099686294,LT
Ireland,0.09144214099686294,
TRINIDAD AND TOBAGO,0.0867383963282842,N
TRINIDAD AND TOBAGO,0.0867383963282842,MT
TRINIDAD AND TOBAGO,0.0867383963282842,
UNITED KINGDOM,0.08609799356197576,N
UNITED KINGDOM,0.08609799356197576,MT
UNITED KINGDOM,0.08609799356197576,LT
UNITED KINGDOM,0.08609799356197576,
EL SALVADOR,0.08596880202794636,N
EL SALVADOR,0.08596880202794636,MT
EL SALVADOR,0.08596880202794636,
COSTA RICA,0.0832928150525916,N
COSTA RICA,0.0832928150525916,MT
COSTA RICA,0.0832928150525916,
THAILAND,0.07874361245707556,N
THAILAND,0.07874361245707556,MT
THAILAND,0.07874361245707556,
NIGER,0.07841396056378282,N
NIGER,0.07841396056378282,MT
MAURITIUS,0.07803525972777418,N
MAURITIUS,0.07803525972777418,LT
MAURITIUS,0.07803525972777418,MT
ZIMBABWE,0.06977478150942208,N
ZIMBABWE,0.06977478150942208,MT
ZIMBABWE,0.06977478150942208,LT
Namibia,0.06095604623765378,N
Namibia,0.06095604623765378,MT
Namibia,0.06095604623765378,LT
India,0.06053122678560499,N
India,0.06053122678560499,MT
India,0.06053122678560499,
India,0.06053122678560499,LT
French Polynesia,0.060055342444566756,N
Macedonia,0.054686953485640545,N
Macedonia,0.054686953485640545,MT
Macedonia,0.054686953485640545,
Slovakia,0.05020717160274437,N
Slovakia,0.05020717160274437,MT
Slovakia,0.05020717160274437,
New Zealand,0.047236737976210655,N
New Zealand,0.047236737976210655,MT
South Africa,0.04198735190095584,N
South Africa,0.04198735190095584,MT
South Africa,0.04198735190095584,LT
South Africa,0.04198735190095584,
HUNGARY,0.03678204393787083,N
HUNGARY,0.03678204393787083,MT
HUNGARY,0.03678204393787083,
BANGLADESH,0.03508953700441929,N
BANGLADESH,0.03508953700441929,MT
BANGLADESH,0.03508953700441929,
JAMAICA,0.03452447901041198,N
JAMAICA,0.03452447901041198,MT
JAMAICA,0.03452447901041198,LT
JAMAICA,0.03452447901041198,
Sri Lanka,0.033583784513958326,N
Sri Lanka,0.033583784513958326,MT
Sri Lanka,0.033583784513958326,
Myanmar,0.032296366208108496,N
Myanmar,0.032296366208108496,MT
Myanmar,0.032296366208108496,
Sudan,0.0306147186879544,N
Sudan,0.0306147186879544,MT
Sudan,0.0306147186879544,LT
KOSOVO,0.029825716894160706,N
KOSOVO,0.029825716894160706,MT
KOSOVO,0.029825716894160706,
TUNISIA,0.017562890756668614,N
TUNISIA,0.017562890756668614,MT
TUNISIA,0.017562890756668614,LT
Montenegro,0.011745807714052628,N
Montenegro,0.011745807714052628,
Libya,0.00955402142334719,N
Libya,0.00955402142334719,MT
Libya,0.00955402142334719,LT
Libya,0.00955402142334719,
POLAND,0.006177202439363028,N
POLAND,0.006177202439363028,MT
POLAND,0.006177202439363028,LT
POLAND,0.006177202439363028,
Malawi,0.00614018358686615,N
Malawi,0.00614018358686615,LT
