COUNTRY,QTA_EVASA_TOTALE,DESCRIZIONE1
Norway,1147.0,ACCESSORI
Belarus,800.0,ACCESSORI
ANTIGUA AND BARBUDA,377.0,ACCESSORI
PHILIPPINES,329.0,ACCESSORI
YEMEN,249.0,ACCESSORI
Brazil,18.0,AGGIUNTA MOTORI MACCHINA
MEXICO,18.0,AGGIUNTA MOTORI MACCHINA
CROATIA,8.0,AGGIUNTA MOTORI MACCHINA
PERU,8.0,AGGIUNTA MOTORI MACCHINA
POLAND,8.0,AGGIUNTA MOTORI MACCHINA
Spain,430.0,ALBERO
MEXICO,421.0,ALBERO
USA,143.0,ALBERO
UNITED KINGDOM,111.0,ALBERO
ROMANIA,107.0,ALBERO
USA,574.0,ALBERO TONDO
MEXICO,443.0,ALBERO TONDO
Spain,356.0,ALBERO TONDO
CHINA,185.0,ALBERO TONDO
UNITED KINGDOM,180.0,ALBERO TONDO
MALAYSIA,55.0,ALIMENTATORE
MEXICO,40.0,ALIMENTATORE
PHILIPPINES,28.0,ALIMENTATORE
Iraq,26.0,ALIMENTATORE
CHINA,25.0,ALIMENTATORE
Spain,810.0,AMMORTIZZATORE
Iraq,792.0,AMMORTIZZATORE
MOROCCO,660.0,AMMORTIZZATORE
YEMEN,541.0,AMMORTIZZATORE
UNITED KINGDOM,535.0,AMMORTIZZATORE
Cape Verde,901.0,ANELLO
Belarus,744.0,ANELLO
PHILIPPINES,723.0,ANELLO
ANTIGUA AND BARBUDA,632.0,ANELLO
Norway,450.0,ANELLO
USA,134.0,ANELLO DI TENUTA
Spain,106.0,ANELLO DI TENUTA
Germany,48.0,ANELLO DI TENUTA
Portugal,44.0,ANELLO DI TENUTA
ITALY,41.0,ANELLO DI TENUTA
Brazil,200.0,ANELLO ELASTICO
MEXICO,180.0,ANELLO ELASTICO
Norway,128.0,ANELLO ELASTICO
Spain,100.0,ANELLO ELASTICO
Serbia,60.0,ANELLO ELASTICO
MEXICO,4495.0,ANELLO SEEGER
Germany,4374.0,ANELLO SEEGER
USA,2368.0,ANELLO SEEGER
Spain,2298.0,ANELLO SEEGER
Brazil,1311.0,ANELLO SEEGER
MEXICO,9.0,ATTACCO
TURKEY,9.0,ATTACCO
Macedonia,8.0,ATTACCO
Norway,8.0,ATTACCO
CROATIA,7.0,ATTACCO
Cape Verde,2706.0,BOCCOLA
Norway,1049.0,BOCCOLA
Belarus,792.0,BOCCOLA
ANTIGUA AND BARBUDA,788.0,BOCCOLA
MEXICO,272.0,BOCCOLA
MEXICO,4417.0,BUSSOLA
Spain,4112.0,BUSSOLA
Saudi Arabia,3601.0,BUSSOLA
Libya,2782.0,BUSSOLA
Iraq,2543.0,BUSSOLA
USA,69.0,CALETTATORE
MEXICO,48.0,CALETTATORE
PHILIPPINES,48.0,CALETTATORE
MALAYSIA,44.0,CALETTATORE
MOROCCO,41.0,CALETTATORE
MEXICO,1491.0,CAMERA D'ARIA
USA,465.0,CAMERA D'ARIA
Spain,350.0,CAMERA D'ARIA
MALAYSIA,290.0,CAMERA D'ARIA
RUSSIAN FEDERATION,245.0,CAMERA D'ARIA
Netherlands,14.0,CAMMA TONDA
POLAND,10.0,CAMMA TONDA
USA,9.0,CAMMA TONDA
ROMANIA,5.0,CAMMA TONDA
Bosnia and Herzegovina,4.0,CAMMA TONDA
UNITED KINGDOM,224.0,CARRELLO
USA,153.0,CARRELLO
Spain,140.0,CARRELLO
ROMANIA,126.0,CARRELLO
ITALY,111.0,CARRELLO
USA,151.0,CARTUCCIA
PHILIPPINES,83.0,CARTUCCIA
POLAND,64.0,CARTUCCIA
UNITED KINGDOM,48.0,CARTUCCIA
CHINA,46.0,CARTUCCIA
USA,381.0,CARTUCCIA FILTRO
UNITED KINGDOM,110.0,CARTUCCIA FILTRO
Spain,64.0,CARTUCCIA FILTRO
CHINA,54.0,CARTUCCIA FILTRO
JAMAICA,34.0,CARTUCCIA FILTRO
USA,287.0,CATARIFRANGENTE
UNITED KINGDOM,136.0,CATARIFRANGENTE
Ireland,116.0,CATARIFRANGENTE
Spain,98.0,CATARIFRANGENTE
Kuwait,86.0,CATARIFRANGENTE
MALDIVES,18289.5,CATENA
MEXICO,1530.0,CATENA
USA,925.0,CATENA
Spain,376.0,CATENA
Germany,256.64,CATENA
USA,113.0,CATENA SPECIALE
UNITED KINGDOM,80.0,CATENA SPECIALE
Germany,44.0,CATENA SPECIALE
THAILAND,23.0,CATENA SPECIALE
Islamic Republic of Iran,22.0,CATENA SPECIALE
USA,3704.0,CAVO
Spain,3494.0,CAVO
MEXICO,2810.0,CAVO
Dominican Republic,607.0,CAVO
ITALY,555.0,CAVO
USA,64.0,CAVO PRECABLATO
ALGERIA,55.0,CAVO PRECABLATO
Lebanon,51.0,CAVO PRECABLATO
UNITED KINGDOM,44.0,CAVO PRECABLATO
Cambodia,38.0,CAVO PRECABLATO
MEXICO,334.0,CILINDRO
Spain,280.0,CILINDRO
USA,227.0,CILINDRO
Iraq,194.0,CILINDRO
CHINA,160.0,CILINDRO
MEXICO,2442.0,CINGHIA DENTATA
USA,2390.0,CINGHIA DENTATA
CHINA,1982.0,CINGHIA DENTATA
Spain,1270.0,CINGHIA DENTATA
VIETNAM,973.0,CINGHIA DENTATA
USA,38.0,COLONNINA LUMINOSA
CHINA,20.0,COLONNINA LUMINOSA
MOROCCO,13.0,COLONNINA LUMINOSA
GUATEMALA,12.0,COLONNINA LUMINOSA
MEXICO,9.0,COLONNINA LUMINOSA
MEXICO,16.0,CONDIZIONATORE
MOROCCO,10.0,CONDIZIONATORE
