COUNTRY,QTA_ORDINATA_TOTALE,DESCRIZIONE1
MALAYSIA,182.0,ALIMENTATORE
MEXICO,118.0,ALIMENTATORE
CHINA,73.0,ALIMENTATORE
USA,73.0,ALIMENTATORE
Iraq,69.0,ALIMENTATORE
USA,549.0,CATARIFRANGENTE
ALGERIA,381.0,CATARIFRANGENTE
UNITED KINGDOM,256.0,CATARIFRANGENTE
Spain,218.0,CATARIFRANGENTE
Ireland,217.0,CATARIFRANGENTE
USA,2560.0,FOTOCELLULA
MEXICO,2174.0,FOTOCELLULA
ALGERIA,1163.0,FOTOCELLULA
CHINA,1032.0,FOTOCELLULA
UNITED KINGDOM,985.0,FOTOCELLULA
USA,34.0,INTERRUTTORE
PHILIPPINES,25.0,INTERRUTTORE
MEXICO,24.0,INTERRUTTORE
MALAYSIA,18.0,INTERRUTTORE
Saudi Arabia,17.0,INTERRUTTORE
MEXICO,99.0,INVERTER
UNITED KINGDOM,54.0,INVERTER
USA,43.0,INVERTER
Indonesia,40.0,INVERTER
Spain,40.0,INVERTER
ALGERIA,2553.0,MODULO
MEXICO,1752.0,MODULO
USA,1573.0,MODULO
CHINA,1502.0,MODULO
India,1470.0,MODULO
MEXICO,57.0,SELETTORE
ALGERIA,18.0,SELETTORE
CANADA,18.0,SELETTORE
TURKEY,18.0,SELETTORE
Brazil,13.0,SELETTORE
MEXICO,2305.0,SENSORE
USA,2216.0,SENSORE
Iraq,1136.0,SENSORE
CHINA,1114.0,SENSORE
UNITED KINGDOM,924.0,SENSORE
Belarus,2020.0,ACCESSORI
Norway,1390.0,ACCESSORI
YEMEN,889.0,ACCESSORI
PHILIPPINES,785.0,ACCESSORI
ANTIGUA AND BARBUDA,669.0,ACCESSORI
MEXICO,56.0,AGGIUNTA MOTORI MACCHINA
Brazil,53.0,AGGIUNTA MOTORI MACCHINA
POLAND,24.0,AGGIUNTA MOTORI MACCHINA
CROATIA,15.0,AGGIUNTA MOTORI MACCHINA
USA,14.0,AGGIUNTA MOTORI MACCHINA
MEXICO,1178.0,ALBERO
Spain,996.0,ALBERO
RUSSIAN FEDERATION,279.0,ALBERO
USA,270.0,ALBERO
ITALY,245.0,ALBERO
USA,980.0,ALBERO TONDO
MEXICO,929.0,ALBERO TONDO
Spain,814.0,ALBERO TONDO
CHINA,455.0,ALBERO TONDO
Saudi Arabia,436.0,ALBERO TONDO
ALGERIA,2638.0,AMMORTIZZATORE
Iraq,2154.0,AMMORTIZZATORE
Spain,2114.0,AMMORTIZZATORE
Saudi Arabia,1694.0,AMMORTIZZATORE
YEMEN,1684.0,AMMORTIZZATORE
Cape Verde,2236.0,ANELLO
ANTIGUA AND BARBUDA,1714.0,ANELLO
PHILIPPINES,1655.0,ANELLO
Belarus,1617.0,ANELLO
Norway,640.0,ANELLO
Spain,264.0,ANELLO DI TENUTA
USA,199.0,ANELLO DI TENUTA
ITALY,165.0,ANELLO DI TENUTA
Brazil,141.0,ANELLO DI TENUTA
POLAND,116.0,ANELLO DI TENUTA
Brazil,660.0,ANELLO ELASTICO
MEXICO,436.0,ANELLO ELASTICO
Norway,256.0,ANELLO ELASTICO
Spain,200.0,ANELLO ELASTICO
TRINIDAD AND TOBAGO,200.0,ANELLO ELASTICO
MEXICO,12357.0,ANELLO SEEGER
Germany,10440.0,ANELLO SEEGER
Spain,7144.0,ANELLO SEEGER
Brazil,4932.0,ANELLO SEEGER
USA,4594.0,ANELLO SEEGER
TURKEY,18.0,ATTACCO
MEXICO,15.0,ATTACCO
Macedonia,13.0,ATTACCO
UNITED ARAB EMIRATES,12.0,ATTACCO
CROATIA,10.0,ATTACCO
USA,193.0,BARRA FILETTATA
MEXICO,110.798828125,BARRA FILETTATA
UNITED KINGDOM,54.0,BARRA FILETTATA
GUATEMALA,27.0,BARRA FILETTATA
Spain,24.0,BARRA FILETTATA
Saudi Arabia,167.0,BOBINA
Iraq,99.0,BOBINA
MEXICO,74.0,BOBINA
BANGLADESH,63.0,BOBINA
MOROCCO,58.0,BOBINA
Cape Verde,6627.0,BOCCOLA
UNITED KINGDOM,2037.0,BOCCOLA
Belarus,1572.0,BOCCOLA
ANTIGUA AND BARBUDA,1390.0,BOCCOLA
Norway,1387.0,BOCCOLA
Saudi Arabia,14274.0,BUSSOLA
MEXICO,9863.0,BUSSOLA
Spain,9594.0,BUSSOLA
Libya,8169.0,BUSSOLA
Iraq,6148.0,BUSSOLA
Portugal,52.0,CABLAGGIO ROHS
MEXICO,42.0,CABLAGGIO ROHS
USA,29.0,CABLAGGIO ROHS
ITALY,26.0,CABLAGGIO ROHS
Greece,25.0,CABLAGGIO ROHS
USA,124.0,CALETTATORE
MEXICO,121.0,CALETTATORE
MOROCCO,120.0,CALETTATORE
MALAYSIA,101.0,CALETTATORE
PHILIPPINES,89.0,CALETTATORE
MEXICO,2749.0,CAMERA D'ARIA
India,1010.0,CAMERA D'ARIA
USA,940.0,CAMERA D'ARIA
Spain,830.0,CAMERA D'ARIA
Brazil,660.0,CAMERA D'ARIA
Netherlands,25.0,CAMMA TONDA
CHINA,18.0,CAMMA TONDA
POLAND,18.0,CAMMA TONDA
USA,18.0,CAMMA TONDA
ITALY,16.0,CAMMA TONDA
UNITED KINGDOM,408.0,CARRELLO
South Africa,334.0,CARRELLO
Spain,290.0,CARRELLO
ITALY,284.0,CARRELLO
USA,276.0,CARRELLO
USA,313.0,CARTUCCIA
India,306.0,CARTUCCIA
PHILIPPINES,208.0,CARTUCCIA
CHINA,177.0,CARTUCCIA
ALGERIA,175.0,CARTUCCIA
